order_month, Revenue,orders,avg_order_value,prev_month_revenue,mom_growth_pct
2023-01,250170.02,6,41695,NULL,NULL
2023-02,764863.81,13,58835.68,250170.02,205.74
2023-03,1137698.76,24,47404.12,764863.81,48.75
2023-04,1775329.37,47,37772.97,1137698.76,56.05
2023-05,1065560.98,36,29598.92,1775329.37,-39.98
2023-06,1641311.87,49,33496.16,1065560.98,54.03
2023-07,3627141.38,78,46501.81,1641311.87,120.99
2023-08,3825245.27,104,36781.2,3627141.38,5.46
2023-09,3591386.15,91,39465.78,3825245.27,-6.11
2023-10,5048522.78,115,43900.2,3591386.15,40.57
2023-11,6069317.4,116,52321.7,5048522.78,20.22
2023-12,6492257.1,144,45085.12,6069317.4,6.97
2024-01,7605643.1,155,49068.67,6492257.1,17.15
2024-02,5470624.78,132,41444.13,7605643.1,-28.07
2024-03,9240945.39,187,49416.82,5470624.78,68.92
2024-04,9396276.92,206,45612.99,9240945.39,1.68
2024-05,9446867.26,209,45200.32,9396276.92,0.54
2024-06,9529233.17,218,43712.08,9446867.26,0.87
2024-07,11376983.42,235,48412.7,9529233.17,19.39
2024-08,11751203.31,266,44177.46,11376983.42,3.29
2024-09,12513479.82,262,47761.37,11751203.31,6.49
2024-10,12412384.48,274,45300.67,12513479.82,-0.81
2024-11,12420024.25,277,44837.63,12412384.48,0.06
2024-12,11704607.94,244,47969.7,12420024.25,-5.76
2025-01,10916152.59,243,44922.44,11704607.94,-6.74
2025-02,11328989.83,255,44427.41,10916152.59,3.78
2025-03,9311487.17,239,38960.2,11328989.83,-17.81
2025-04,10047266.68,226,44456.93,9311487.17,7.9
2025-05,10109744.74,213,47463.59,10047266.68,0.62
2025-06,7765605.77,187,41527.3,10109744.74,-23.19
2025-07,8113663.44,178,45582.38,7765605.77,4.48
2025-08,8190750.32,177,46275.43,8113663.44,0.95
2025-09,7566341.12,174,43484.72,8190750.32,-7.62
2025-10,5424921.72,131,41411.62,7566341.12,-28.3
2025-11,6502720.46,150,43351.47,5424921.72,19.87
2025-12,5679064.36,120,47325.54,6502720.46,-12.67
