order_item_id,order_id,product_id,quantity,unit_price,discount,line_total
1,1,25,3,1719.78,0.0,5159.34
2,1,2,2,3911.93,0.0,7823.86
3,2,31,1,440.79,0.0,440.79
4,3,8,3,7478.19,0.0,22434.57
5,4,29,1,438.5,0.2,350.8
6,4,5,1,7323.99,0.0,7323.99
7,5,18,3,316.88,0.0,950.64
8,5,8,3,7478.19,0.0,22434.57
9,6,44,2,1675.89,0.0,3351.78
10,6,17,3,425.94,0.05,1213.93
11,7,26,1,1412.65,0.1,1271.39
12,7,40,2,16569.14,0.0,33138.28
13,8,31,1,440.79,0.0,440.79
14,9,27,3,1246.0,0.0,3738.0
15,9,14,2,1335.52,0.0,2671.04
16,9,7,1,11903.44,0.0,11903.44
17,10,1,3,4311.34,0.0,12934.02
18,10,2,3,3911.93,0.0,11735.79
19,10,33,2,3763.53,0.0,7527.06
20,11,1,3,4311.34,0.05,12287.32
21,12,47,2,32443.0,0.05,61641.7
22,12,39,1,22252.18,0.0,22252.18
23,13,17,2,425.94,0.0,851.88
24,13,52,2,35725.17,0.1,64305.31
25,14,38,1,21688.29,0.0,21688.29
26,14,29,1,438.5,0.0,438.5
27,14,9,3,4533.34,0.1,12240.02
28,14,39,3,22252.18,0.0,66756.54
29,15,42,1,1783.38,0.0,1783.38
30,15,14,3,1335.52,0.0,4006.56
31,15,3,1,4598.39,0.2,3678.71
32,16,9,1,4533.34,0.0,4533.34
33,16,47,1,32443.0,0.0,32443.0
34,16,50,2,32122.03,0.1,57819.65
35,16,20,3,337.55,0.1,911.39
36,17,39,2,22252.18,0.05,42279.14
37,17,30,3,448.49,0.2,1076.38
38,17,8,3,7478.19,0.0,22434.57
39,18,17,2,425.94,0.1,766.69
40,19,49,2,24383.87,0.0,48767.74
41,19,11,2,4853.64,0.0,9707.28
42,19,34,2,3937.59,0.05,7481.42
43,20,8,2,7478.19,0.2,11965.1
44,20,41,3,1458.5,0.05,4156.72
45,20,20,2,337.55,0.0,675.1
46,20,11,1,4853.64,0.05,4610.96
47,21,34,1,3937.59,0.0,3937.59
48,22,8,1,7478.19,0.2,5982.55
49,22,7,3,11903.44,0.0,35710.32
50,22,18,2,316.88,0.0,633.76
51,23,28,3,2077.38,0.05,5920.53
52,23,5,1,7323.99,0.0,7323.99
53,23,19,1,301.26,0.05,286.2
54,24,39,3,22252.18,0.1,60080.89
55,24,12,1,5553.73,0.1,4998.36
56,24,48,2,48857.09,0.0,97714.18
57,25,6,3,8439.67,0.05,24053.06
58,25,25,3,1719.78,0.05,4901.37
59,26,6,1,8439.67,0.0,8439.67
60,26,44,1,1675.89,0.0,1675.89
61,27,17,3,425.94,0.05,1213.93
62,27,40,1,16569.14,0.1,14912.23
63,27,19,2,301.26,0.05,572.39
64,27,6,1,8439.67,0.0,8439.67
65,28,14,3,1335.52,0.05,3806.23
