order_id,customer_id,order_date,status,payment_method
1,898,2025-04-30,delivered,UPI
2,529,2024-10-09,delivered,UPI
3,867,2024-02-17,delivered,COD
4,1133,2023-12-12,delivered,UPI
5,1133,2024-01-18,delivered,UPI
6,444,2023-04-07,delivered,COD
7,173,2024-01-20,delivered,UPI
8,1081,2025-01-14,delivered,Card
9,159,2025-09-16,delivered,UPI
10,985,2023-08-11,delivered,UPI
11,921,2023-12-14,delivered,UPI
12,173,2024-07-28,delivered,COD
13,325,2024-10-04,delivered,UPI
14,1186,2025-08-24,delivered,Card
15,857,2023-09-27,delivered,COD
16,1186,2025-01-03,delivered,UPI
17,4,2023-06-12,cancelled,UPI
18,343,2025-04-08,delivered,COD
19,729,2025-03-24,delivered,NetBanking
20,1191,2025-01-26,delivered,UPI
21,634,2024-10-15,delivered,COD
22,916,2025-03-21,delivered,UPI
23,1094,2024-07-06,delivered,UPI
24,1040,2023-07-20,delivered,UPI
25,181,2024-11-05,delivered,NetBanking
26,977,2024-07-05,delivered,COD
27,957,2024-06-12,delivered,UPI
28,451,2024-12-05,delivered,Card
29,645,2024-07-27,delivered,COD
30,209,2024-08-04,delivered,COD
31,658,2025-10-11,cancelled,Card
32,226,2025-11-07,delivered,UPI
33,580,2024-06-04,delivered,NetBanking
34,153,2024-08-10,cancelled,UPI
35,109,2023-08-24,delivered,COD
36,529,2025-12-25,returned,UPI
37,1191,2025-02-14,delivered,UPI
38,334,2024-10-30,delivered,Card
39,474,2024-03-10,delivered,Card
40,2,2025-03-27,delivered,UPI
41,67,2023-12-19,cancelled,UPI
42,114,2024-04-05,delivered,Card
43,23,2025-06-25,delivered,UPI
44,1143,2024-08-05,cancelled,UPI
45,818,2024-05-07,delivered,UPI
46,422,2023-08-21,delivered,UPI
47,321,2024-07-20,delivered,Card
48,81,2025-11-16,delivered,UPI
49,219,2024-07-05,delivered,UPI
50,791,2023-10-09,delivered,COD
51,1191,2025-08-04,delivered,Card
52,194,2023-08-02,shipped,COD
53,1000,2025-02-12,shipped,UPI
54,718,2024-11-06,delivered,Card
55,1164,2024-08-21,delivered,Card
56,451,2024-09-23,delivered,UPI
57,599,2024-11-17,cancelled,Card
58,1094,2023-11-02,delivered,UPI
59,1045,2024-12-27,shipped,Card
60,1192,2024-01-30,delivered,COD
61,1186,2025-05-06,delivered,Card
62,1191,2025-07-22,delivered,COD
63,145,2024-08-17,delivered,Card
64,937,2024-12-23,delivered,NetBanking
65,566,2024-07-18,delivered,UPI
66,558,2024-09-14,delivered,UPI
67,91,2024-11-08,delivered,UPI
68,81,2025-10-01,returned,UPI
69,157,2024-09-24,shipped,UPI
70,868,2025-11-04,returned,UPI
71,866,2025-04-23,delivered,COD
72,67,2024-06-05,shipped,Card
73,678,2024-01-18,delivered,Card
74,1134,2023-10-20,delivered,UPI
75,409,2024-09-25,returned,Card
76,1191,2025-08-10,delivered,COD
77,624,2023-12-16,delivered,UPI
78,237,2024-10-17,delivered,UPI
79,34,2025-08-14,delivered,UPI
80,173,2024-09-28,delivered,NetBanking
81,675,2025-09-06,delivered,UPI
82,112,2024-06-12,delivered,Card
83,59,2025-07-05,delivered,UPI
84,1191,2024-12-18,delivered,Card
85,704,2024-05-05,delivered,COD
86,963,2023-11-19,cancelled,Card
87,144,2023-10-29,delivered,UPI
88,535,2024-02-13,delivered,UPI
89,48,2024-12-06,delivered,Card
90,779,2025-07-13,returned,UPI
91,53,2023-05-02,delivered,UPI
92,584,2024-03-29,delivered,COD
93,721,2024-07-24,delivered,UPI
94,173,2025-03-31,delivered,NetBanking
95,1191,2024-09-20,delivered,Card
96,1109,2025-07-19,delivered,UPI
97,538,2024-09-17,cancelled,UPI
98,32,2025-06-26,delivered,UPI
99,1010,2025-04-09,delivered,COD
100,1191,2025-04-05,delivered,Card
101,298,2024-12-27,delivered,Card
102,321,2025-01-06,delivered,UPI
103,184,2025-09-13,delivered,Card
104,392,2025-03-05,delivered,NetBanking
105,830,2024-10-25,delivered,COD
106,738,2025-08-09,delivered,Card
107,1039,2024-09-07,delivered,Card
108,717,2025-05-20,delivered,NetBanking
109,367,2025-09-06,delivered,NetBanking
110,64,2024-04-21,delivered,UPI
111,1191,2024-08-30,delivered,UPI
112,679,2025-11-23,delivered,UPI
113,577,2024-01-07,delivered,Card
114,600,2024-04-15,cancelled,NetBanking
115,844,2025-01-27,delivered,Card
116,1197,2025-01-18,delivered,UPI
117,28,2023-12-20,shipped,COD
118,104,2025-01-04,delivered,COD
119,660,2025-03-12,delivered,Card
120,675,2024-12-30,delivered,NetBanking
121,596,2024-01-15,delivered,Card
122,605,2025-07-20,delivered,NetBanking
123,462,2024-02-09,delivered,UPI
124,425,2023-12-27,delivered,Card
125,560,2023-07-29,delivered,COD
126,456,2024-11-19,cancelled,COD
127,1191,2024-09-03,delivered,NetBanking
128,1191,2025-09-25,shipped,Card
129,304,2025-10-06,delivered,Card
130,166,2023-06-21,delivered,Card
131,267,2024-05-21,delivered,UPI
132,1098,2024-03-26,delivered,COD
133,451,2024-03-16,cancelled,UPI
134,1191,2024-10-23,delivered,UPI
135,680,2024-01-27,delivered,Card
136,532,2025-02-27,shipped,Card
137,1097,2024-10-13,delivered,Card
138,631,2024-08-07,delivered,UPI
139,95,2025-10-19,delivered,UPI
140,287,2025-09-30,delivered,UPI
141,61,2024-11-19,delivered,COD
142,792,2024-12-17,delivered,Card
143,736,2024-09-10,delivered,UPI
144,650,2024-04-21,delivered,NetBanking
145,1191,2025-07-24,delivered,Card
146,680,2023-10-06,delivered,Card
147,1186,2024-09-01,delivered,UPI
148,1191,2025-01-02,delivered,UPI
149,827,2025-05-27,delivered,Card
150,280,2023-10-12,delivered,Card
151,309,2025-03-26,delivered,UPI
152,1191,2025-09-29,delivered,UPI
153,1039,2024-03-13,delivered,COD
154,1056,2024-09-18,delivered,COD
155,474,2024-04-20,delivered,UPI
156,443,2025-06-21,delivered,Card
157,1191,2025-02-12,delivered,UPI
158,451,2023-08-19,delivered,UPI
159,113,2024-08-21,delivered,Card
160,74,2024-06-18,delivered,UPI
161,559,2024-05-25,delivered,Card
162,1186,2024-11-21,delivered,UPI
163,102,2025-06-30,delivered,COD
164,926,2024-05-29,delivered,UPI
165,651,2025-02-27,cancelled,UPI
166,1191,2025-11-05,delivered,UPI
167,444,2023-03-20,shipped,NetBanking
168,177,2024-01-03,delivered,UPI
169,794,2024-03-10,delivered,NetBanking
170,1029,2024-08-27,delivered,COD
171,367,2025-06-22,delivered,Card
172,693,2025-08-19,delivered,NetBanking
173,87,2025-01-29,delivered,Card
174,763,2023-07-28,delivered,COD
175,288,2025-01-23,delivered,NetBanking
176,304,2025-04-15,delivered,UPI
177,1191,2024-11-01,delivered,UPI
178,990,2023-11-27,delivered,UPI
179,433,2024-07-23,delivered,UPI
180,31,2024-04-17,delivered,UPI
181,776,2025-04-05,delivered,Card
182,541,2025-07-27,delivered,Card
183,897,2024-07-27,delivered,NetBanking
184,509,2024-12-03,cancelled,Card
185,389,2024-04-13,delivered,Card
186,474,2025-03-30,delivered,UPI
187,1094,2024-10-13,delivered,Card
188,27,2024-06-06,returned,UPI
189,390,2024-12-03,cancelled,Card
190,1186,2024-11-29,delivered,UPI
191,1166,2025-08-19,delivered,UPI
192,235,2024-11-16,delivered,UPI
193,634,2025-03-03,delivered,UPI
194,514,2025-12-04,delivered,COD
